index,rating,title,body,review_for,author,location,badge,helpful_count,unhelpful_count,verified_purchase,time_ago,image_count
49,5.0,Just wow!,Super,Review for: Color Silver • Storage 512 GB,BANOTH  GOVIND,Hyderabad,,1,,True,5 months ago,0
50,5.0,Terrific purchase,Android to iPhone nice one,Review for: Color Cosmic Orange • Storage 256 GB,Sameer Mishra,Ujjain Division,,1,3,True,5 months ago,0
51,2.0,Moderate,When I click photo always I see no clear photo I don't know I didn't expect this from iphone 17 pro model and display I see very yellow display not like it at all and charging cable I don't know why t...,Review for: Color Cosmic Orange • Storage 256 GB,Ansh Rai,Porvorim,,22,12,True,4 months ago,0
52,5.0,Terrific,Very well,Review for: Color Deep Blue • Storage 256 GB,Mahendar Choudhary,Barotiwala Industrial Area,,,,True,3 days ago,0
53,5.0,Mind-blowing purchase,Best product ever till now by Apple,Review for: Color Silver • Storage 256 GB,Flipkart Customer,Pune,,,,True,5 days ago,0
54,1.0,Worthless,Poor battery,Review for: Color Cosmic Orange • Storage 256 GB,Mohammed Meraj,Gumla,,1,2,True,16 days ago,0
55,5.0,Must buy! Good Bhartiya product with NAVIC navigation.,Silver Iphone 17 Pro is better looking than other colours. 512gb is ideal.,Review for: Color Silver • Storage 512 GB,Flipkart Customer,Tawang District,,,,True,16 days ago,0
56,5.0,Great product,Very good product,Review for: Color Silver • Storage 256 GB,Deepak  Khatkar,Rohtak,,,,True,23 days ago,0
57,5.0,Highly recommended,Awesome,Review for: Color Deep Blue • Storage 256 GB,Nitin Vijay,Barh,,,,True,24 days ago,0
58,5.0,Terrific,Awesome,Review for: Color Deep Blue • Storage 256 GB,Sumit Kumar,Bangalore,,,,True,26 days ago,0
59,3.0,Good,Worth it !!,Review for: Color Silver • Storage 256 GB,Vijay Shirale,Pune,,,,True,26 days ago,0
60,5.0,Must buy!,Good performance,Review for: Color Cosmic Orange • Storage 256 GB,Shaurya  Palkhatyal,Bijnor,,,,True,1 month ago,0
61,5.0,Great product,Excellent,Review for: Color Silver • Storage 256 GB,Flipkart Customer,Kahalgaon,,,,True,1 month ago,0
62,4.0,Delightful,Good one,Review for: Color Deep Blue • Storage 256 GB,Himanshu Pruthi,Delhi,,,,True,1 month ago,0
63,1.0,Hated it!,Over heating,Review for: Color Deep Blue • Storage 256 GB,satish  varagogula,Rajahmundry,,,2,True,1 month ago,0
64,5.0,Fabulous!,Good,Review for: Color Deep Blue • Storage 256 GB,Ziaulla  Khan,Bengaluru,,,,True,1 month ago,0
65,5.0,Awesome,nice,Review for: Color Cosmic Orange • Storage 256 GB,Mahendra  Sharma,Noida,,,,True,1 month ago,0
66,4.0,Delightful,Gorgeous,Review for: Color Cosmic Orange • Storage 256 GB,Laxman Kumar  Dewangan,Vedanta Jharsuguda,,,,True,1 month ago,0
67,5.0,Simply awesome,Latest model with nice updation,Review for: Color Cosmic Orange • Storage 256 GB,Aharam Tanmai,Hyderabad,,,,True,1 month ago,0
68,5.0,Mind-blowing purchase,Verry nice,Review for: Color Silver • Storage 256 GB,Manoj  gurung,New Delhi,,,,True,2 months ago,0
69,5.0,Terrific,Good 👍,Review for: Color Cosmic Orange • Storage 256 GB,Maidul Islam,Kolkata,,,,True,2 months ago,0
70,5.0,Classy product,Cool product,Review for: Color Cosmic Orange • Storage 256 GB,TRIBHANU RAJ SINGH,Etawah,,,,True,2 months ago,0
71,5.0,Wonderful,Excellent product,Review for: Color Cosmic Orange • Storage 256 GB,Sanjay Negi,Thane,,,,True,2 months ago,0
72,5.0,Great product,Best product,Review for: Color Deep Blue • Storage 256 GB,Rohit  Chauhan,Rudraprayag District,,,,True,2 months ago,0
73,5.0,Awesome,Very Nice Product lajwab,Review for: Color Cosmic Orange • Storage 256 GB,सतीश  सेठ,North Chotanagpur Division,,,1,True,2 months ago,0
74,5.0,Mind-blowing purchase,super great,Review for: Color Silver • Storage 256 GB,brijesh parsania,Palghar District,,,,True,2 months ago,0
75,5.0,Just wow!,Awesome phone👌👌❤️,Review for: Color Deep Blue • Storage 256 GB,Jharnendu Hembram,Kalyani,,,1,True,3 months ago,0
76,1.0,Don't waste your money,There are frozen screen issues,Review for: Color Cosmic Orange • Storage 512 GB,Flipkart Customer,New Delhi,,7,9,True,3 months ago,0
77,5.0,Simply awesome,From 15 plus to 17 pro journey,Review for: Color Silver • Storage 256 GB,Flipkart Customer,Shillong,,,2,True,3 months ago,0
78,5.0,Worth every penny,Best,Review for: Color Silver • Storage 256 GB,Mehar Nanda,New Delhi,,,,True,4 months ago,0
79,1.0,Did not meet expectations,Bought it by selling all the property owned by family and what i got just piece of scrap its totally  not worth it better buy a 10k or 20k phone.,Review for: Color Deep Blue • Storage 256 GB,Onee Sama,Agartala,,43,68,True,4 months ago,0
80,1.0,Absolute rubbish!,Waste,Review for: Color Cosmic Orange • Storage 256 GB,Vishal Vishnu,Secunderabad,Silver Reviewer,68,80,True,6 months ago,0
